,region,floor,total_area,living_area,kitchen_area,floors_total,rooms
38,Unknow,7,54.0,36.0,14.0,14,1
39,Unknow,2,44.3,30.0,6.0,5,2
40,Unknow,3,17.5,8.2,3.6,4,1
41,Орджоникидзевский,5,68.0,42.0,9.0,9,3
42,Орджоникидзевский,5,58.0,42.0,7.0,9,3
43,Орджоникидзевский,1,73.9,52.0,7.5,5,3
44,Unknow,1,30.0,17.0,6.0,5,1
45,Unknow,8,32.0,15.0,6.0,10,1
46,Unknow,1,35.0,27.0,6.0,1,1
47,Орджоникидзевский,9,48.4,27.9,6.0,10,2
48,Ленинский,3,83.0,55.0,9.0,4,3
49,Орджоникидзевский,4,65.0,43.0,10.0,13,3
50,Орджоникидзевский (левый берег),3,43.0,30.0,6.0,4,2
51,Правобережный,1,45.0,29.0,6.0,5,2
52,Орджоникидзевский,5,105.0,75.0,14.0,16,3
53,Ленинский,1,48.0,33.0,8.0,3,2
54,Ленинский,3,82.3,70.0,9.0,4,3
55,Правобережный,2,90.8,55.0,9.0,3,3
56,Орджоникидзевский,5,63.0,52.0,7.0,5,3
57,Ленинский,1,53.3,31.1,6.0,2,3
58,Орджоникидзевский,4,33.3,15.0,8.0,16,1
59,Правобережный,2,61.0,45.0,7.0,5,4
60,Правобережный,7,30.4,17.0,6.0,9,1
61,Правобережный,1,64.6,45.0,9.0,9,3
62,Орджоникидзевский,9,50.0,30.0,9.0,9,2
63,Правобережный,5,30.0,18.0,6.0,5,1
64,Unknow,5,43.6,32.0,6.0,9,2
65,Unknow,3,75.0,35.0,20.0,3,2
66,Ленинский,3,43.0,29.0,6.0,5,2
67,Орджоникидзевский,1,69.0,58.0,8.0,10,3
68,Правобережный,6,30.0,17.0,6.0,9,1
69,Unknow,8,65.0,45.0,8.0,9,4
70,Правобережный,5,50.8,36.0,6.0,5,3
71,Unknow,1,70.0,45.0,12.0,4,3
72,Орджоникидзевский,7,68.6,43.0,10.0,9,4
73,Орджоникидзевский,2,42.5,20.0,8.5,10,1
74,Ленинский,1,55.4,41.0,6.0,5,3
75,Орджоникидзевский,4,45.0,30.0,6.0,5,2
76,Ленинский,2,50.0,35.0,7.0,4,2
77,Правобережный,5,31.0,18.0,6.0,5,1
78,Ленинский,2,42.0,20.8,7.7,3,1
79,Ленинский,5,70.3,40.0,9.0,5,3
80,Ленинский,2,78.0,30.0,20.0,2,3
81,Unknow,1,36.2,20.0,10.0,3,1
82,Unknow,3,66.0,40.0,12.0,4,2
83,Правобережный,5,40.0,18.3,9.0,10,1
84,Unknow,9,65.0,40.0,11.0,9,2
85,Unknow,9,50.0,30.0,9.0,9,2
86,Unknow,1,63.4,45.0,8.0,5,3
87,Unknow,7,88.0,60.0,9.0,8,3
88,Unknow,2,31.0,17.0,6.0,5,1
89,Unknow,5,49.8,30.0,9.0,5,2
90,Ленинский,1,38.4,18.1,8.7,3,1
91,Unknow,4,36.3,27.0,9.0,10,1
92,Unknow,5,58.0,35.0,7.0,9,3
93,Орджоникидзевский,4,56.0,39.0,7.0,4,2
94,Unknow,9,50.2,29.0,8.0,9,2
95,Unknow,5,32.0,17.0,8.0,10,1
96,Unknow,3,40.0,20.0,9.0,9,1
97,Ленинский,1,68.5,39.5,12.0,2,2
98,Ленинский,2,76.0,50.0,9.0,5,3
99,Орджоникидзевский,3,61.0,45.0,9.0,9,3
100,Ленинский,2,54.1,37.1,6.8,3,2
101,Unknow,2,45.0,31.0,6.0,2,2
102,Орджоникидзевский,2,72.0,33.0,14.0,16,2
103,Ленинский,4,42.0,30.0,6.0,5,2
104,Правобережный,5,62.0,42.0,8.0,9,3
105,Unknow,1,32.0,17.0,6.0,4,1
106,Орджоникидзевский,4,60.0,36.0,16.0,10,2
107,Орджоникидзевский,9,79.0,49.6,8.2,9,4
108,Правобережный,5,63.0,42.0,9.0,5,3
109,Ленинский,3,66.7,43.0,9.0,5,3
110,Орджоникидзевский,7,70.0,50.0,9.0,9,3
111,Unknow,5,49.8,30.0,9.0,9,2
112,Unknow,13,66.2,40.0,10.5,14,2
113,Орджоникидзевский,7,65.0,46.0,9.0,10,3
114,Ленинский,5,62.4,43.0,8.0,5,3
115,Ленинский,4,32.4,17.0,6.0,4,1
116,Unknow,5,44.0,27.0,6.0,5,2
117,Unknow,1,32.0,17.0,7.0,1,1
118,Unknow,5,44.0,29.0,6.0,5,2
119,Орджоникидзевский,1,52.8,30.5,9.0,13,2
120,Орджоникидзевский (левый берег),3,46.4,34.0,6.0,4,3
121,Орджоникидзевский (левый берег),2,44.0,34.0,6.0,3,3
122,Ленинский,5,77.0,48.0,9.0,5,3
123,Орджоникидзевский,7,82.0,50.0,10.0,16,3
124,Unknow,1,35.0,18.0,12.0,1,1
125,Unknow,1,47.0,29.0,8.0,2,2
126,Unknow,1,70.0,50.0,14.0,1,3
127,Unknow,1,52.0,31.0,14.0,1,2
128,Unknow,1,35.0,20.0,10.0,1,2
129,Unknow,2,29.4,17.0,7.0,5,1
130,Unknow,6,69.0,43.0,12.0,9,3
131,Unknow,7,65.0,43.0,8.0,9,3
132,Unknow,1,82.1,55.0,12.0,5,3
133,Правобережный,4,46.1,29.0,6.0,5,2
134,Unknow,3,82.3,60.0,8.0,3,4
135,Ленинский,1,55.8,40.8,6.4,2,3
136,Орджоникидзевский,2,102.2,64.3,16.0,10,3
137,Unknow,2,61.8,46.0,7.0,5,3
138,Правобережный,1,43.04,28.0,6.0,5,2
139,Правобережный,5,43.8,25.3,5.0,5,2
140,Орджоникидзевский,5,132.6,83.4,20.6,14,3
141,Правобережный,2,64.0,41.3,6.3,5,3
142,Unknow,2,36.0,20.0,12.0,2,2
143,Ленинский,4,48.6,22.0,15.0,6,1
144,Орджоникидзевский,1,77.2,53.0,7.0,5,4
145,Unknow,7,30.1,16.0,6.0,9,1
146,Unknow,14,104.0,60.0,16.0,14,4
147,Правобережный,1,65.3,41.1,6.0,9,3
148,Орджоникидзевский,6,65.0,43.0,9.0,9,3
149,Unknow,7,42.4,21.6,11.2,9,1
150,Unknow,5,60.0,45.0,6.0,5,3
151,Unknow,5,56.0,40.0,6.0,5,3
152,Unknow,3,32.0,15.0,6.0,5,1
153,Unknow,6,79.5,55.0,13.0,10,2
154,Орджоникидзевский (левый берег),1,43.0,31.0,6.0,3,2
155,Ленинский,3,69.0,50.0,7.0,3,3
156,Орджоникидзевский,3,36.0,19.0,9.0,14,1
157,Ленинский,1,48.7,31.8,7.0,3,2
